scenario,theta_multiplier,theta_per_m,exchange_coefficient,boundary_layer_depth_m,comparison_hour,final_wind_ms,final_core_moisture,final_central_pressure_hpa,final_rmw_km,delta_wind_ms,delta_core_moisture,delta_central_pressure_hpa,delta_rmw_km
open_ocean_intensifying,1.1300000000000001,7.533333333333334e-07,0.001356,1800.0,48.0,48.03174656253106,0.8605777792075581,953.4645631794,29.53276926246595,0.45389348690375186,0.001666901468604598,-0.28594284136329406,-0.2747077215985563
open_ocean_intensifying,1.1400000000000001,7.6e-07,0.001368,1800.0,48.0,48.05875061293362,0.8606682650267494,953.4429046358458,29.516552251821956,0.480897537306312,0.0017573872877959529,-0.3076013849174615,-0.29092473224255144
open_ocean_intensifying,1.15,7.666666666666665e-07,0.0013799999999999997,1800.0,48.0,48.08472505227111,0.8607539487364773,953.4212970989735,29.500965103221073,0.5068719766438008,0.001843070997523788,-0.32920892178981376,-0.30651188084343417
open_ocean_intensifying,1.1600000000000001,7.733333333333334e-07,0.001392,1800.0,48.0,48.10968940303862,0.8608349402649571,953.3997411008231,29.485994306779645,0.5318363274113125,0.0019240625260036337,-0.35076491994016123,-0.32148267728486246
open_ocean_intensifying,1.17,7.799999999999998e-07,0.0014039999999999999,1800.0,48.0,48.133663017544,0.8609113476231669,953.3782371638107,29.471626578022143,0.5558099419166922,0.0020004698842134294,-0.37226885695258716,-0.3358504060423648
open_ocean_intensifying,1.1800000000000002,7.866666666666667e-07,0.0014160000000000002,1800.0,48.0,48.156665071729385,0.8609832769212854,953.3567858007594,29.457848855786008,0.5788119961020755,0.00207239918233193,-0.39372022000384277,-0.3496281282784999
open_ocean_intensifying,1.19,7.933333333333332e-07,0.0014279999999999998,1800.0,48.0,48.178714559395466,0.8610508323857896,953.3353875149459,29.444648300079912,0.6008614837681563,0.0021399546468361397,-0.4151185058174178,-0.36282868398459556
open_ocean_intensifying,1.2000000000000002,8.000000000000001e-07,0.00144,1800.0,48.0,48.19983028681555,0.8611141163771568,953.3140428001388,29.432012289899355,0.6219772111882378,0.0022032386382033753,-0.4364632206244323,-0.37546469416515293
open_ocean_intensifying,1.21,8.066666666666665e-07,0.0014519999999999997,1800.0,48.0,48.22003086773004,0.8611732294081311,953.2927521406443,29.419928421003622,0.6421777921027285,0.0022623516691776535,-0.45775388011895757,-0.3875485630608857
open_ocean_intensifying,1.2200000000000002,8.133333333333334e-07,0.001464,1800.0,48.0,48.23933471870886,0.8612282701625157,953.2715160113502,29.408384503656293,0.6614816430815509,0.0023173924235622145,-0.4789900094131099,-0.3990924804082141
open_ocean_intensifying,1.23,8.199999999999999e-07,0.0014759999999999999,1800.0,48.0,48.25776005487089,0.8612793355144398,953.2503348777656,29.397368560333238,0.679906979243583,0.0023684577754863323,-0.5001711429977149,-0.41010842373126977
open_ocean_intensifying,1.2400000000000002,8.266666666666668e-07,0.0014880000000000002,1800.0,48.0,48.27532488594956,0.8613265205480725,953.2292091960721,29.38686882340183,0.6974718103222486,0.0024156428091189897,-0.5212968246911487,-0.4206081606626775
open_ocean_intensifying,1.25,8.333333333333332e-07,0.0014999999999999998,1800.0,48.0,48.29204701269275,0.861369918577734,953.208139413173,29.376873732772438,0.7141939370654384,0.0024590408387805684,-0.5423666075903384,-0.43060325129206944
open_ocean_intensifying,1.26,8.399999999999999e-07,0.0015119999999999999,1800.0,48.0,48.307944023586664,0.8614096211683724,953.1871259667297,29.367371933527572,0.7300909479593543,0.002498743429418915,-0.5633800540335869,-0.4401050505369355
open_ocean_intensifying,1.27,8.466666666666666e-07,0.001524,1800.0,48.0,48.323033291892244,0.8614457181563717,953.1661692852217,29.358352273528727,0.7451802162649344,0.0025348404174182493,-0.5843367355415694,-0.44912471053578074
open_ocean_intensifying,1.28,8.533333333333332e-07,0.0015359999999999998,1800.0,48.0,48.33733197298336,0.8614782976706524,953.1452697879915,29.349803801005297,0.7594788973560469,0.0025674199316989554,-0.6052362327717447,-0.45767318305921023
open_ocean_intensifying,1.29,8.599999999999999e-07,0.001548,1800.0,48.0,48.35085700197587,0.8615074461540336,953.1244278852943,29.341715762127816,0.773003926348558,0.0025965684150801582,-0.6260781354690153,-0.4657612219366918
open_ocean_intensifying,1.3,8.666666666666666e-07,0.00156,1800.0,48.0,48.363625091637154,0.8615332483848251,953.1036439783486,29.334077598566857,0.7857720160098438,0.0026223706458716745,-0.646862042414682,-0.47339938549765037
hostile_open_ocean,0.7,4.666666666666666e-07,0.0008399999999999999,1800.0,48.0,22.654783675057605,0.5224043306730326,968.741746325563,65.5720230754927,3.5432238790581287,0.05616366734118011,1.5442607060305136,-10.001076977131888
hostile_open_ocean,0.71,4.733333333333333e-07,0.0008519999999999999,1800.0,48.0,22.512752836383783,0.5203052347786425,968.681806470936,65.92548825325089,3.4011930403843067,0.054064571446790055,1.4843208514034814,-9.647611799373692
hostile_open_ocean,0.72,4.8e-07,0.0008639999999999999,1800.0,48.0,22.37273703252049,0.5182235187944111,968.6225589845731,66.27740989289602,3.2611772365210143,0.0519828554625586,1.4250733650405891,-9.295690159728565
hostile_open_ocean,0.73,4.866666666666666e-07,0.0008759999999999999,1800.0,48.0,22.23468831718662,0.5161589867883303,968.5639899986953,66.62780769385374,3.1231285211871445,0.04991832345647779,1.3665043791628477,-8.945292358770843
hostile_open_ocean,0.74,4.933333333333333e-07,0.0008879999999999999,1800.0,48.0,22.098560338667113,0.5141114441707565,968.5060860384567,66.9767008738905,2.987000542667637,0.047870780838904003,1.308600418924243,-8.596399178734089
hostile_open_ocean,0.75,5e-07,0.0009,1800.0,48.0,21.964308272987132,0.5120806977729535,968.4488340077494,67.32410818314052,2.8527484769876565,0.04584003444110102,1.2513483882169112,-8.248991869484058
hostile_open_ocean,0.76,5.066666666666667e-07,0.0009119999999999999,1800.0,48.0,21.831888760405267,0.5100665559182114,968.3922211756403,67.67004791773977,2.720328964405791,0.04382589258635888,1.1947355561078439,-7.903052134884817
hostile_open_ocean,0.77,5.133333333333333e-07,0.0009239999999999999,1800.0,48.0,21.701259845037573,0.5080688284860325,968.3362351633834,68.01453793307361,2.589700049038097,0.04182816515418003,1.1387495438509632,-7.55856211955097
hostile_open_ocean,0.78,5.2e-07,0.000936,1800.0,48.0,21.572380917436135,0.5060873269698718,968.2808639319908,68.3575956566446,2.460821121436659,0.03984666363801931,1.0833783124583078,-7.215504395979977
hostile_open_ocean,0.79,5.266666666666667e-07,0.000948,1800.0,48.0,21.445212659956766,0.5041218645288635,968.2260957703262,68.69923810057148,2.3336528639572904,0.03788120119701105,1.0286101507937246,-6.873861952053105
hostile_open_ocean,0.7999999999999999,5.333333333333332e-07,0.0009599999999999998,1800.0,48.0,21.31971699476079,0.5021722560339571,968.1719192837068,69.03948187372151,2.208157198761313,0.03593159270210461,0.9744336641742848,-6.533618178903069
hostile_open_ocean,0.8099999999999999,5.399999999999999e-07,0.0009719999999999999,1800.0,48.0,21.195857034305998,0.5002383181088408,968.1183233829736,69.37834319349085,2.0842972383065224,0.033997654776988295,0.9208377634411136,-6.194756859133733
hostile_open_ocean,0.82,5.466666666666666e-07,0.0009839999999999998,1800.0,48.0,21.07359703418985,0.4983198691660164,968.0652972740229,69.7158378972347,1.9620372381903728,0.032079205834163904,0.8678116544904242,-5.857262155389876
hostile_open_ocean,0.83,5.533333333333333e-07,0.000996,1800.0,48.0,20.952902348217496,0.49641672943836634,968.0128304477684,70.05198145336051,1.8413425522180198,0.030176066106513855,0.8153448282358795,-5.521118599264071
hostile_open_ocean,0.84,5.599999999999999e-07,0.0010079999999999998,1800.0,48.0,20.833739385573974,0.4945287210065218,967.9609126705094,70.38678897208842,1.7221795895744982,0.028288057674669298,0.7634270509769294,-5.186311080536157
hostile_open_ocean,0.85,5.666666666666666e-07,0.0010199999999999999,1800.0,48.0,20.716075569987904,0.4926556678223293,967.909533974701,70.72027521588984,1.6045157739884282,0.02641500449047679,0.7120483551685766,-4.85282483673474
hostile_open_ocean,0.86,5.733333333333333e-07,0.001032,1800.0,48.0,20.5998793007804,0.4907973957286942,967.858684650082,71.05245460961159,1.4883195047809252,0.024556732396841696,0.6611990305494828,-4.520645443012995
hostile_open_ocean,0.87,5.8e-07,0.001044,1800.0,48.0,20.48511991569946,0.48895373247605206,967.8083552351723,71.38334125029212,1.3735601196999845,0.02271306914419957,0.6108696156397855,-4.189758802332463
hostile_open_ocean,0.88,5.866666666666666e-07,0.0010559999999999999,1800.0,48.0,20.371767655445687,0.48712450773571486,967.7585365091107,71.71294891668137,1.2602078594462114,0.020883844403862373,0.5610508895782687,-3.8601511359432124
hostile_open_ocean,0.89,5.933333333333333e-07,0.001068,1800.0,48.0,20.259793629801496,0.485309553110316,967.7092194837953,72.04129107846752,1.1482338338020206,0.019068889778463494,0.5117338642628511,-3.531808974157059
hostile_open_ocean,0.9,6e-07,0.00108,1800.0,48.0,20.149169785279785,0.4835087021415611,967.6603953963635,72.36838090522392,1.037609989280309,0.01726803880970862,0.46290977683099754,-3.2047191474006667
hostile_open_ocean,0.91,6.066666666666666e-07,0.0010919999999999999,1800.0,48.0,20.039868874214715,0.4817217903154874,967.6120557019391,72.69423127507899,0.9283090782152392,0.015481126983634907,0.41457008240661253,-2.8788687775455912
