SID,NAME,typhoon_id,measure_type,station_id,station_name,station_lat,station_lon,distance_to_landfall_km,observation_time_local,observation_time_utc,time_offset_hours,tdb_wind_ms,averaging_window_minutes,codis_wind_ms,codis_observation_time_utc,tdb_minus_codis_ms,comparison_status,source_url,raw_sha256,evidence_label
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD30,蘆洲,25.09,121.47,134.15590833229666,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,11.5,,11.5,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD40,土城,24.97,121.45,121.10334450286973,2015-08-08T02:00:00+08:00,2015-08-07T18:00:00+00:00,-3.7748664766666664,12.6,,12.6,2015-08-07T18:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD50,鶯歌,24.95,121.35,120.55152823044868,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,14.6,,14.6,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AG90,中和,24.99,121.49,122.90059571810467,2015-08-08T02:00:00+08:00,2015-08-07T18:00:00+00:00,-3.7748664766666664,9.1,,9.1,2015-08-07T18:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AH00,汐止,25.07,121.66,131.52288950445632,2015-08-08T04:00:00+08:00,2015-08-07T20:00:00+00:00,-1.7748664766666666,13.8,,13.8,2015-08-07T20:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AH10,永和,25.01,121.51,124.96348238376248,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,11.6,,11.6,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0C460,復興,24.82,121.35,106.44531998516116,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,5.5,,5.5,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0C480,桃園,24.99,121.32,125.54224492256171,2015-08-08T07:00:00+08:00,2015-08-07T23:00:00+00:00,1.2251335233333334,5.8,,5.8,2015-08-07T23:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0C490,八德,24.93,121.28,120.05163059294473,2015-08-08T02:00:00+08:00,2015-08-07T18:00:00+00:00,-3.7748664766666664,9.3,,9.3,2015-08-07T18:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0C520,中壢,24.97,121.19,126.97613582880872,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,11.5,,11.5,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
