SID,NAME,crossing_time,crossing_lon,crossing_lat,JTWC,JMA,CMA,HKO,KMA,JTWC_minus_CMA_ms,JMA_minus_CMA_ms,CMA_minus_CMA_ms,HKO_minus_CMA_ms,KMA_minus_CMA_ms
2018039N08151,SANBA,2018-02-12 23:39:25.628428800+00:00,126.185720248,9.15999721760002,16.74516666666667,18.005555555555556,16.79146666666667,18.005555555555556,18.064353296035527,-0.046299999999998676,1.214088888888888,0.0,1.214088888888888,1.272886629368859
2018153N12113,EWINIAR,2018-06-05 23:38:10.726570788+00:00,110.52424580424464,20.5,16.74516666666667,18.005555555555556,18.766933333333338,17.849641564371126,17.818458766134242,-2.021766666666668,-0.7613777777777813,0.0,-0.9172917689622118,-0.9484745671990957
2018184N10147,MARIA,2018-07-11 01:40:59.803153154+00:00,119.56696175967625,26.45610928845513,42.7667112760116,40.84126660503039,32.62418441795022,39.398011018656696,35.65257434890822,10.14252685806138,8.217082187080173,0.0,6.773826600706478,3.0283899309579994
2018195N19138,SON-TINH,2018-07-17 20:37:16.376594379+00:00,110.51363528380176,18.85631307132232,19.137333333333338,19.45405289012409,19.57258154903825,20.902550224692625,19.164353423210382,-0.4352482157049131,-0.11852865891416187,0.0,1.3299686756543743,-0.4082281258278684
2018199N18128,AMPIL,2018-07-22 05:27:30.394625784+00:00,121.8992854588721,31.700714541127905,26.31383333333334,23.15,23.97305697429982,23.382167512413037,23.242867004965216,2.3407763590335193,-0.8230569742998206,0.0,-0.5908894618867819,-0.730189969334603
2018204N15137,JONGDARI,2018-07-28 15:22:28.802370198+00:00,136.89388861456035,34.48122227708794,30.79941110463792,33.117646349073034,30.805207161776774,33.117646349073034,30.352678602961294,-0.005796057138855559,2.3124391872962597,0.0,2.3124391872962597,-0.45252855881548015
2018218N18134,YAGI,2018-08-12 14:35:42.288204785+00:00,121.5944813200602,28.262267345658373,19.46021199686292,19.465257345983648,21.56956077095527,23.15,20.647214049504573,-2.10934877409235,-2.104303424971622,0.0,1.5804392290447282,-0.9223467214506975
2018222N16147,LEEPI,2018-08-14 17:21:56.918186918+00:00,131.59025681775677,32.29430176791288,19.390181120857743,21.12153646062597,19.080138334653892,18.549314238403745,18.22305902869483,0.3100427862038515,2.0413981259720764,0.0,-0.5308240962501465,-0.8570793059590613
2018226N23128,RUMBIA,2018-08-16 20:17:00.694105140+00:00,121.3671772339261,30.728352614031667,23.01123748077875,23.15,22.95376170455707,23.15,21.092222222222222,0.0574757762216791,0.19623829544292803,0.0,0.19623829544292803,-1.8615394823348481
2018227N11145,SOULIK,2018-08-23 10:21:57.920565795+00:00,126.06384075383784,34.28214520614056,25.22452910677691,31.56713034414529,29.451200823122043,31.56713034414529,34.98222222222223,-4.226671716345134,2.115929521023247,0.0,2.115929521023247,5.531021399100183
2018239N11161,JEBI,2018-09-04 04:19:32.874998061+00:00,135.0977395831718,34.63499594879589,40.94464583805002,40.01880600612009,37.15470967936689,44.445514114171154,39.38487231233513,3.7899361586831333,2.8640963267531987,0.0,7.290804434804265,2.230162632968245
2018250N12170,MANGKHUT,2018-09-14 18:26:44.521022747+00:00,122.1811465909076,18.007428338068273,66.09217553088384,55.824595438753114,61.31004785983706,68.68570654986422,55.53943902934939,4.782127671046773,-5.485452421083949,0.0,7.375658690027159,-5.770608830487674
2018263N12146,TRAMI,2018-09-29 23:48:11.445800540+00:00,130.85079484725975,30.454075190775775,38.35313795080897,43.72777777777778,42.9664,41.15555555555556,43.21333333333334,-4.613262049191029,0.7613777777777813,0.0,-1.8108444444444416,0.2469333333333381
2018294N08161,YUTU,2018-10-29 20:34:17.141375966+00:00,122.4000000960022,16.757142864000155,47.159857634971175,38.950794003563566,43.38971469210522,43.72777777777778,41.89047640213814,3.7701429428659523,-4.438920688541657,0.0,0.3380630856725588,-1.4992382899670815
2018365N08115,PABUK,2019-01-04 08:22:18.306491087+00:00,100.28376642625602,8.239529196718,22.030458131688555,22.133221217753704,20.558804176185596,24.705443439975927,19.896307896811848,1.4716539555029584,1.5744170415681076,0.0,4.14663926379033,-0.6624962793737481
2019195N13136,DANAS,2019-07-20 11:58:59.718783627+00:00,126.29832552176742,35.59804644206201,11.96750938502,18.012734105756273,16.796979793220817,15.447690433734769,13.895742840160574,-4.829470408200818,1.2157543125354557,0.0,-1.3492893594860487,-2.901236953060243
2019205N23137,NARI,2019-07-26 20:31:56.064452860+00:00,136.1110200104829,33.89085602935207,15.73557659651306,18.005555555555556,15.7493091748952,15.433333333333334,16.26862640260311,-0.01373257838214137,2.2562463806603557,0.0,-0.3159758415618672,0.5193172277079103
2019210N16117,WIPHA,2019-08-01 10:20:36.696079072+00:00,110.39325521965964,21.161960557385942,19.797760039946528,20.57777777777778,21.73013333333333,23.15,20.808167724754185,-1.932373293386803,-1.1523555555555518,0.0,1.4198666666666675,-0.9219656085791463
2019213N17155,FRANCISCO,2019-08-05 19:41:57.050492048+00:00,131.53184418334888,32.11151646024321,36.24230496036175,32.36888583099478,32.555730397754985,33.82577594304131,30.465862874877967,3.686574562606765,-0.18684456676020744,0.0,1.2700455452863224,-2.089867522877018
2019214N15134,LEKIMA,2019-08-09 17:59:44.908409372+00:00,121.40041921085071,28.299441052198972,43.062342740745066,43.72957495022136,49.877772876459986,43.72957495022136,39.09849664675521,-6.815430135714919,-6.148197926238623,0.0,-6.148197926238623,-10.779276229704777
