SID,NAME,crossing_time,crossing_lon,crossing_lat,segment_hours,fraction,original_JTWC,JTWC,original_JMA,JMA,original_CMA,CMA,original_HKO,HKO,original_KMA,KMA,all_original,available_count,common_intensity_ms,disagreement_ms
2003283N26131,UNNAMED,2003-10-12 06:55:10.088144662+00:00,130.31454275011703,31.253244821512148,6.0,0.15324482151214625,True,14.353000000000002,False,,False,,False,,False,,False,1,14.353000000000002,
2003294N11112,UNNAMED,2003-10-23 23:00:40.256608664+00:00,121.98463794565117,10.916480293478406,6.0,0.8351970652159366,True,9.568666666666667,False,,False,,False,,False,,False,1,9.568666666666667,
2003295N09101,UNNAMED,2003-10-24 14:43:26.541153491+00:00,99.98219542558127,12.281602613953554,6.0,0.454006534883888,True,11.960833333333335,False,,False,,False,,False,,False,1,11.960833333333335,
2003302N11133,MELOR,2003-11-01 00:18:59.802256138+00:00,122.4630619639214,16.931661173781627,6.0,0.05276862296938134,True,35.75626865908675,True,25.450756972946408,True,26.6688,True,28.294444444444448,False,,False,4,27.481622222222224,
2003316N11141,NEPARTAK,2003-11-13 15:54:51.133075527+00:00,125.45621236477575,12.269526545596971,6.0,0.652367272015141,True,23.92166666666667,True,24.04418862809439,True,21.73013333333333,True,22.255811371905615,False,,False,4,23.088739019286145,
2004134N07132,NIDA,2004-05-16 21:53:54.078770689+00:00,124.41016447859192,13.824862934506712,6.0,0.6497258690134231,True,63.87216153401678,True,47.20098290359326,True,47.90506666666667,True,51.44444444444445,False,,False,4,49.67475555555556,
2004158N07142,CHANTHU,2004-06-08 23:52:38.209277797+00:00,125.12658925642887,10.68363738065916,6.0,0.9795467258239512,True,16.696239025958533,True,,True,11.358933333333333,False,,False,,False,2,14.027586179645933,
2004174N14146,MINDULLE,2004-07-01 14:01:43.030019380+00:00,121.49856902750861,23.53667226914659,6.0,0.338103241637981,True,29.480568057590023,True,29.996989995120085,True,27.976354982918892,True,29.996989995120085,False,,False,4,29.738779026355054,
2004193N19136,KOMPASU,2004-07-16 08:37:49.427389194+00:00,114.2684801751501,22.582239357783063,6.0,0.4383994161664191,True,16.74516666666667,True,,True,18.4824704583725,True,19.76701783858247,False,,False,3,18.4824704583725,
2004208N19118,UNNAMED,2004-07-27 02:20:18.707191913+00:00,116.24922053367027,22.93385297755314,6.0,0.3897549625885688,False,,False,,True,17.687906665334765,True,14.430796957341627,False,,False,2,16.059351811338196,
2004215N22148,MALOU,2004-08-05 22:40:26.963175551+00:00,139.9685391094133,40.111610429176885,6.0,0.7790260729422016,False,,True,,False,,False,,False,,False,0,,
2004219N15137,RANANIM,2004-08-12 12:11:20.217941488+00:00,121.35906095722521,28.20314915713652,6.0,0.031491571365194204,True,40.44083407143102,True,30.54265338795367,True,42.51537351603151,True,43.403764499064785,False,,False,4,41.478103793731265,
2004230N09172,CHABA,2004-08-30 00:33:43.981087188+00:00,130.28433254529955,31.687405656221188,6.0,0.09370282811059383,True,42.834847218021444,True,40.673506562053284,True,37.61124300294736,True,40.91453105880442,False,,False,4,40.79401881042885,
2004231N09147,AERE,2004-08-25 14:34:23.641247795+00:00,118.62824049201043,24.785563860004743,6.0,0.42887227999051447,True,33.83063205509872,True,28.660357048493243,True,34.003424589785006,True,31.232579270715465,False,,False,4,32.53160566290709,
2004255N23120,HAIMA,2004-09-10 23:58:45.776030909+00:00,120.19793822308083,22.800687258973056,6.0,0.9965637051347187,True,11.952613143299772,True,,True,14.311950904388533,False,,False,,False,2,13.132282023844152,
2004263N13153,MEARI,2004-09-28 23:20:56.149362156+00:00,130.33723259459418,31.61319071711689,6.0,0.8914883963961131,True,31.098166666666668,True,30.866666666666667,True,28.965808250465706,True,31.145782624825554,False,,False,4,30.982416666666666,
2004284N07157,TOKAGE,2004-10-20 09:25:42.212655548+00:00,135.41419620215947,34.61421708832227,6.0,0.5713987340531617,True,24.946952328355835,True,34.17403976888977,True,30.760985452089457,True,34.17403976888977,False,,False,4,32.467512610489614,
2004327N16125,MERBOK,2004-11-22 13:58:08.318820475+00:00,121.53591854582231,15.565632581671064,6.0,0.32816290835532413,False,,True,,True,16.79146666666667,True,13.705219036491751,False,,False,2,15.24834285157921,
2005071N06152,ROKE,2005-03-16 17:13:24.272236747+00:00,125.04592049769354,11.064715920445664,6.0,0.8705681591086716,True,36.19212253538554,True,23.815854914807616,True,24.34482071821531,True,26.05514967962603,False,,False,4,25.199985198920672,
2005192N22155,HAITANG,2005-07-18 07:03:36.258738979+00:00,121.61166067733842,24.088339322661554,6.0,0.17667864532310773,True,45.02852190061291,True,37.674419857948905,True,41.308541820898796,True,42.81886430239335,False,,False,4,42.06370306164607,
2005210N19115,WASHI,2005-07-29 21:27:05.740768561+00:00,110.53978737894215,19.030106310528915,6.0,0.5752657763222828,True,20.513464947925623,True,22.057489191317874,True,22.569181634401208,True,20.57777777777778,False,,False,4,21.317633484547827,
2005211N09141,MATSA,2005-08-05 20:14:14.443895280+00:00,121.37626544735332,28.186445460538906,6.0,0.3728909210778113,True,29.314132203256726,True,32.47973057522763,True,39.46739047176373,True,39.23723892823304,False,,False,4,35.85848475173033,
2005222N14131,SANVU,2005-08-13 03:40:41.826531679+00:00,116.83217148523113,23.413047524614814,6.0,0.6130475246148137,True,25.232119252802388,True,25.722222222222225,True,25.616629291768973,True,27.712877734481573,False,,False,4,25.6694257569956,
2005237N14148,TALIM,2005-08-31 17:43:43.524267555+00:00,121.56329009376958,23.8,6.0,0.9547927901645892,True,45.7755962080505,True,41.388121535042174,True,43.39060034658358,True,46.41628298974331,False,,False,4,44.58309827731704,
2005248N08142,KHANUN,2005-09-11 08:13:09.068659827+00:00,121.53013571019312,28.70685071878751,6.0,0.3698642898068272,True,45.811614873668844,True,36.68058704243821,True,41.87716641711092,True,40.873658341435096,False,,False,4,41.37541237927301,
2005257N15120,VICENTE,2005-09-18 07:21:51.730986181+00:00,106.44521009387205,17.850134448370362,6.0,0.22739495306396407,True,23.377700039778823,True,19.99286742628547,True,18.317722183387243,True,22.565089648507694,False,,False,4,21.278978537396583,
2005262N13127,DAMREY,2005-09-25 19:55:09.856271552+00:00,110.51208932201865,18.972039698674962,6.0,0.31990075331259504,True,36.74415482923478,True,39.509843902402984,True,43.32340542428991,True,45.58079891591708,False,,False,4,41.41662466334645,
2005268N19146,LONGWANG,2005-10-01 21:19:25.795352396+00:00,121.55824758800583,23.776986003527696,6.0,0.5539720070553926,True,49.719059855155976,True,40.600243571852296,True,42.43330049564487,True,51.16678845259282,False,,False,4,46.076180175400424,
2005279N17111,UNNAMED,2005-10-07 15:22:09.055559042+00:00,107.48231661504877,16.7,6.0,0.5615303499556603,True,13.009725814514404,False,,False,,True,13.988952488725163,False,,False,2,13.499339151619782,
2005301N13117,KAI-TAK,2005-11-02 08:57:11.039577579+00:00,105.7046933450672,19.09217775822126,6.0,0.49217775822125986,True,16.782590878750085,False,,True,14.322133333333335,True,18.045796643817297,False,,False,3,16.782590878750085,
2005311N08140,TEMBIN,2005-11-10 13:23:38.183741801+00:00,121.56767667862033,15.916161660689841,6.0,0.23232332137968115,True,20.417987789412482,True,,True,16.217782945073107,True,19.98019056778449,False,,False,3,19.98019056778449,
2005316N05134,BOLAVEN,2005-11-20 00:36:01.323670952+00:00,122.51995097514992,17.070042896743846,6.0,0.10006128106263645,True,16.505803405484667,True,,True,14.322133333333335,True,17.74817570482222,False,,False,3,16.505803405484667,
2006128N09138,CHANCHU,2006-05-11 13:05:21.742135976+00:00,125.50028165048269,12.154468640777447,6.0,0.18156213592482118,True,35.013846221023684,True,27.82742628370449,True,28.285596719218383,True,28.294444444444448,False,,False,4,28.290020581831413,
2006180N06140,EWINIAR,2006-07-10 02:39:14.122609593+00:00,126.42116024559243,34.540408933251285,6.0,0.44232049118488703,True,18.07922899833722,True,27.453426876356623,True,25.586003814548867,True,26.01895125090442,False,,False,4,25.80247753272664,
2006184N16110,UNNAMED,2006-07-03 11:18:28.684479983+00:00,110.22306773629646,18.63852584592484,6.0,0.8846613185177432,False,,False,,True,13.980361752365111,False,,False,,False,1,13.980361752365111,
2006188N10143,BILIS,2006-07-14 05:03:13.513542592+00:00,119.65770770636146,26.27383383491083,6.0,0.8422922936385362,True,19.514596451567684,True,28.294444444444448,True,24.484465792483817,True,26.12788148914088,False,,False,4,25.306173640812347,
2006198N08152,KAEMI,2006-07-24 15:36:20.968092966+00:00,121.17883510594629,22.7807765960358,6.0,0.6009707450447479,True,27.268377816062127,True,31.893058583579343,True,34.169340891280704,True,37.03750302802379,False,,False,4,33.03119973743002,
2006209N13130,PRAPIROON,2006-07-31 06:34:27.127236330+00:00,122.20429966498472,16.238280134006118,6.0,0.09570033501529451,True,14.353000000000002,True,,True,14.322133333333335,True,12.861111111111112,False,,False,3,14.322133333333335,
2006216N07151,SAOMAI,2006-08-10 09:58:05.158548825+00:00,120.4063800806208,27.132269986563198,6.0,0.6613499328159946,True,57.45015554047936,True,48.0421664567355,True,47.81659141555162,True,51.48547190732547,False,,False,4,49.76381918203049,
2006224N21141,WUKONG,2006-08-17 15:00:52.303919424+00:00,131.4483049655742,31.850726443325343,6.0,0.5024214777511418,True,25.12354257836036,True,24.42988253222901,True,22.71308311808521,True,24.42988253222901,False,,False,4,24.42988253222901,
2006234N18109,UNNAMED,2006-08-24 20:49:13.122206400+00:00,112.364974023,21.735025977000006,6.0,0.470051954000013,True,13.228557384039638,False,,True,14.322133333333335,False,,False,,False,2,13.775345358686486,
2006253N20120,UNNAMED,2006-09-13 09:23:31.084511249+00:00,111.51733600668405,21.52613119465276,6.0,0.5653279866318996,True,10.608474567978725,False,,True,11.358933333333333,False,,False,,False,2,10.983703950656029,
2006264N13115,UNNAMED,2006-09-25 04:08:48.023425580+00:00,106.45599804786832,17.81466731737722,6.0,0.6911121956287047,False,,False,,True,12.274229675246357,False,,False,,False,1,12.274229675246357,
2006268N12129,XANGSANE,2006-09-27 08:44:49.020747297+00:00,124.18795746886258,13.037347510379131,6.0,0.4578250345971071,True,57.21022090719077,True,41.372522322017105,True,45.64402142913642,True,37.18873883899145,False,,False,4,43.50827187557677,
2006298N12143,CIMARON,2006-10-29 13:33:56.543364657+00:00,122.26076359379374,16.526095108169713,6.0,0.26095108169712944,True,63.85947427033426,True,50.10199610193588,True,54.839907556597716,True,52.674218324158105,False,,False,4,53.75706294037791,
2006311N16143,CHEBI,2006-11-11 00:08:31.683974888+00:00,121.66920420521501,16.0,6.0,0.0236890729115089,True,49.95215894708427,True,46.17813288046635,True,42.849407565247695,True,48.68942154292175,False,,False,4,47.43377721169405,
2006329N06150,DURIAN,2006-11-30 05:14:53.995463648+00:00,123.72527798779407,13.4,6.0,0.8747220122059503,True,60.403538319602674,True,46.300000000000004,True,48.46190226681366,True,46.622242824159144,False,,False,4,47.542072545486405,
2006340N08142,UTOR,2006-12-09 05:31:20.369553360+00:00,125.58757377274554,11.28407749586445,6.0,0.920387479322244,True,31.098166666666668,True,30.866666666666667,True,28.64426666666667,True,33.23410779403444,False,,False,4,30.982416666666666,
2006349N08157,TRAMI,2006-12-19 22:51:30.685619433+00:00,125.32829524336483,12.419024603613735,6.0,0.8097539638626472,False,,True,,True,11.358933333333333,False,,False,,False,1,11.358933333333333,
2007184N16112,TORAJI,2007-07-04 05:25:11.150992702+00:00,110.12901179176805,18.561317610975973,6.0,0.9032940274399266,True,14.121663195974213,True,,True,14.322133333333335,False,,False,,False,2,14.221898264653774,
2007188N04148,MAN-YI,2007-07-14 04:38:10.338201902+00:00,130.76813160109322,31.404511095484843,6.0,0.7727008426806492,True,39.36214160166821,True,36.59577505466033,True,38.02773333333333,True,43.72777777777778,False,,False,4,38.69493746750077,
2007208N20155,USAGI,2007-08-02 09:06:14.598536799+00:00,131.69306299005927,32.46907677733702,6.0,0.5173425248518413,True,40.58386091360051,True,35.832675799857725,True,33.17326699613691,True,37.07417808315549,False,,False,4,36.453426941506606,
2007216N18138,PABUK,2007-08-10 11:09:45.541792258+00:00,113.55582330014335,22.386044174964155,6.0,0.8604417496415806,False,,True,,True,14.942441844526439,True,17.838206265545978,False,,False,2,16.39032405503621,
2007223N19136,SEPAT,2007-08-17 21:33:48.697962777+00:00,121.40607879801956,23.234529081782394,6.0,0.5939212019804359,True,48.81474149799581,True,38.66151343008495,True,44.97188782381929,True,43.24460537203398,False,,False,4,44.10824659792664,
2007240N17153,FITOW,2007-09-06 14:04:31.009597870+00:00,138.87294003698776,34.61882011096322,6.0,0.34588007397547926,True,34.22769443274332,True,35.12143069860752,True,32.89965877653058,True,33.43888888888889,False,,False,4,33.8332916608161,
2007254N18140,NARI,2007-09-16 10:43:49.151477709+00:00,127.73070931398922,34.98257996372983,6.0,0.7883866424865573,True,30.224643260195226,True,25.871582903575668,True,25.79577566994611,True,27.899488545082757,False,,False,4,26.885535724329213,
2007257N16134,WIPHA,2007-09-18 19:05:33.802147555+00:00,120.51787953020573,27.22748432885596,6.0,0.1821204697942278,True,47.62152489704346,True,37.177970374754544,True,40.358046348877764,True,41.385506180146464,False,,False,4,40.871776264512114,
2007265N20122,FRANCISCO,2007-09-21 17:57:46.978887492+00:00,121.40369503090295,19.40061583848383,6.0,0.9938416151616991,False,,True,,True,14.322133333333335,False,,False,,False,1,14.322133333333335,
2007272N17125,LEKIMA,2007-09-28 23:53:54.903404562+00:00,122.24732733644566,16.513522096127325,6.0,0.9830973798408422,False,,True,,True,14.322133333333335,False,,False,,False,1,14.322133333333335,
2007274N18131,KROSA,2007-10-07 08:59:53.676410268+00:00,120.35008782763515,27.099824344729694,6.0,0.49970724121615717,True,22.72628366113742,True,25.723728303521327,True,29.139579171380472,True,30.868172747965772,False,,False,4,27.4316537374509,
2007306N18133,PEIPAH,2007-11-04 12:16:25.042302352+00:00,122.43159428455886,16.81824152411764,6.0,0.04560381029409655,True,31.098166666666668,True,30.749363532410186,True,28.64426666666667,True,28.294444444444448,False,,False,4,29.696815099538426,
2007323N09128,HAGIBIS,2007-11-18 23:44:07.193857387+00:00,126.14852253504046,9.773533162705213,6.0,0.9558886045086865,True,14.353000000000002,True,,True,14.322133333333335,False,,False,,False,2,14.337566666666667,
2007324N10140,MITAG,2007-11-25 15:56:26.496423222+00:00,122.41186130982095,17.259747569271113,6.0,0.6567822418158755,True,36.70353408053613,True,34.321721233551386,True,33.58293333333334,True,35.335355160087225,False,,False,4,34.82853819681931,
2008135N12116,HALONG,2008-05-17 12:54:46.401319199+00:00,120.32171856737779,16.39128892553333,6.0,0.1521482092222186,True,34.42664450202234,True,30.083948657001255,True,27.892857377387873,True,27.90308543961174,False,,False,4,28.993517048306497,
2008169N08135,FENGSHEN,2008-06-20 05:14:37.688906138+00:00,125.55123950521448,11.44958683159516,6.0,0.8739670789879028,True,35.58100824745223,True,38.25914865317444,True,33.58293333333334,True,35.49241562285688,False,,False,4,35.53671193515456,
2008193N20126,KALMAEGI,2008-07-17 14:45:28.389269171+00:00,121.77017617432472,24.375788590810323,6.0,0.45964765135053653,True,39.76033863008288,True,28.502034860274463,True,29.337420132530152,True,33.43888888888889,False,,False,4,31.38815451070952,
2008206N22133,FUNG-WONG,2008-07-27 23:02:12.352299667+00:00,121.47659316992434,23.41973037730712,6.0,0.8394607546142367,True,41.434906596340625,True,36.42405372563116,True,38.82058315321182,True,41.56849817007561,False,,False,4,40.127744874776226,
2008217N19120,KAMMURI,2008-08-06 11:36:31.181226352+00:00,111.68479001878438,21.59347769086274,6.0,0.9347769086274127,True,21.68552450507846,True,23.317768285030603,True,21.85897937623683,True,25.889990507252826,False,,False,4,22.588373830633717,
2008229N13147,NURI,2008-08-22 08:53:21.944396860+00:00,114.30737140005817,22.29262859994186,6.0,0.48157149985465253,True,21.617668087528727,True,24.483513308707202,True,29.229145552717824,True,32.200179975373864,False,,False,4,26.856329430712513,
2008252N16128,SINLAKU,2008-09-13 22:47:07.806070510+00:00,121.82024163856244,24.7,6.0,0.7975836143754975,True,43.059000000000005,True,35.00086866462463,True,39.02740038980421,True,37.573090886846856,False,,False,4,38.300245638325535,
2008262N16142,HAGUPIT,2008-09-23 23:21:06.391059955+00:00,110.99446741167043,21.456785019628796,6.0,0.8919625490719909,True,51.01083076658487,True,39.41702232966114,True,43.4999609576498,True,44.28357044199632,False,,False,4,43.891765699823054,
2008268N12140,JANGMI,2008-09-28 10:33:37.957883971+00:00,121.63990935722353,24.128027192832935,6.0,0.7600906427764471,True,44.110252337563,True,45.579078317686196,True,45.217581456528634,True,48.15130053990842,False,,False,4,45.398329887107415,
2008272N08139,HIGOS,2008-09-30 19:48:48.861794156+00:00,123.52796409191012,13.620904848039936,6.0,0.3022621200998401,True,16.74516666666667,True,,True,14.322133333333335,True,15.433333333333334,False,,False,3,15.433333333333334,
2008272N15113,MEKKHALA,2008-09-30 01:28:32.990835063+00:00,106.58184794353667,17.572180258543714,6.0,0.24597179791959434,True,24.54861672556337,True,21.884611750702533,True,20.51536061400776,True,22.51730587535127,False,,False,4,22.2009588130269,
2008286N17109,UNNAMED,2008-10-15 09:47:42.945155268+00:00,105.82047374568697,18.610236872843494,6.0,0.6325437571883583,True,11.326699817691832,False,,True,13.072564225799638,False,,False,,False,2,12.199632021745735,
2009123N10111,CHAN-HOM,2009-05-07 12:27:33.385370880+00:00,120.31481842853333,16.438272809511112,6.0,0.07654561902222667,True,34.783840730173985,True,28.09755210218172,True,28.266233369522233,True,35.617326426585656,False,,False,4,31.52503704984811,
